round,r2_pop,r2_life,mae_pop,mae_life,rmse_pop,rmse_life,kd_used,alpha_pop,alpha_life
1,0.9917309759925068,0.9460616613861688,6477974.806634491,1.2265004661645322,13756849.06999591,1.73810736656754,False,0.0,0.0
2,0.9919037096883545,0.9449365121865024,6404316.1381722065,1.1999550658005818,13612405.64215358,1.7561421874052445,True,0.26,0.3
3,0.9899771240307795,0.9451893082352208,7980038.228431973,1.1773680204354697,15145653.75481729,1.7521063322990158,True,0.26,0.3
4,0.9903922331533617,0.9450145248997112,7859987.829768356,1.1706912156548968,14828699.822670393,1.7548977150534215,True,0.26,0.3
5,0.9910226481259805,0.9445469988204644,6831107.093855873,1.1761859451049745,14333952.80288339,1.7623426246933656,True,0.26,0.3
6,0.9908413728248694,0.9451872839162601,7000527.036536345,1.1696657002389175,14477948.795066634,1.7521386872028457,True,0.26,0.3
7,0.9906252925341282,0.945163553694392,7621797.308788108,1.168926332914596,14647742.89681873,1.7525179253025627,True,0.26,0.3
8,0.9909951338751686,0.944642422830285,7817562.943576535,1.1742833957153243,14355901.716946201,1.760825644496821,True,0.26,0.3
9,0.9916884384289111,0.9443748470834123,6359814.319532872,1.1761894353143112,13792187.714307392,1.7650760677578698,True,0.26,0.3
10,0.9908994803762694,0.9443487173481301,6637468.379341694,1.1818740252369113,14431947.534472732,1.7654905884644496,True,0.26,0.3
