round,r2_pop,r2_life,mae_pop,mae_life,rmse_pop,rmse_life
1,0.9957563001402093,0.96346262380295,6796218.0286251735,0.9947221768971859,9855171.273891352,1.43052843873929
2,0.9958522672889681,0.9632923975213546,6695433.903019496,0.9950779648355759,9743101.50248972,1.4338569558745784
3,0.9959023666014444,0.9638223042695034,6636213.252790765,0.9910021026251017,9684080.627106357,1.4234698353253448
4,0.9959041861501797,0.9643341639449329,6619873.681412774,0.9887255526713838,9681930.286716452,1.4133639898009556
5,0.9959137541982963,0.9641717773446551,6593223.930115097,0.9865207015967459,9670614.911687078,1.4165778598548522
6,0.9959116702973049,0.9642113912247409,6599713.471545208,0.9906401301929753,9673080.504346143,1.4157945155908014
7,0.9959125438606738,0.9644185843119328,6606245.989153248,0.9872421592905362,9672047.013795964,1.4116902957464135
8,0.9959304391816697,0.9646740967495325,6584805.171260558,0.982575981800536,9650851.159769185,1.406612443760737
9,0.9958975436701051,0.9642084019209783,6607784.876334161,0.9854804977597496,9689778.052461684,1.4158536426656538
10,0.9958955929065547,0.9641765286432878,6613506.329616178,0.9881112143228424,9692081.577199861,1.4164839282123385
