fold,val_year,n_val,n_active_clients,r2_pop_meanstack,r2_life_meanstack
1,2003,189,5,0.5455031456057273,0.9634840175066657
2,2004,189,5,0.584650074797437,0.9630420210857775
3,2005,189,5,0.6073681450568025,0.9751554150767546
4,2006,189,5,0.6445846429857376,0.9731365489977447
5,2007,189,5,0.6532725180927322,0.9702252821299345
6,2008,189,5,0.6321256984270749,0.9726513616158339
7,2009,189,5,0.617868358898636,0.9091931444584029
8,2010,189,5,0.6485411107775181,0.966489017067396
9,2011,189,5,0.6714719524136394,0.9610405290240057
10,2012,189,5,0.6211874170011256,0.9781515727493606
11,2013,189,5,0.6696741913569252,0.9762059931388127
12,2014,189,5,0.6444783104825278,0.9705789163540757
13,2015,189,5,0.6390302998405488,0.9690511772228552
14,2016,189,5,0.6526794946147046,0.9695075411363103
15,2017,189,5,0.6612263824875348,0.9655576653729859
16,2018,189,5,0.6408034748339486,0.9773779184827348
17,2019,189,5,0.6094415271562525,0.9605703610404888
18,2020,189,5,0.6577452392020082,0.9670388781604419
19,2021,189,5,0.6481708615264214,0.9428344678742838
