fold,val_year,n_val,n_active_clients,r2_pop_meanstack,r2_life_meanstack
1,2003,189,5,0.5484764653352295,0.9661100819014485
2,2004,189,5,0.5835824829750322,0.9657839159979028
3,2005,189,5,0.604657974101927,0.9769588077806937
4,2006,189,5,0.6393191861088378,0.9745431127054645
5,2007,189,5,0.661514762912122,0.972836737035273
6,2008,189,5,0.6360947774289499,0.9753941562781652
7,2009,189,5,0.6223031400021335,0.9113847756906996
8,2010,189,5,0.6577577391253171,0.9682184824163004
9,2011,189,5,0.6719717224716928,0.9643859171037769
10,2012,189,5,0.6283880959567638,0.9809256016721116
11,2013,189,5,0.6740256017504689,0.9787178580255905
12,2014,189,5,0.645160584960109,0.9744210392740028
13,2015,189,5,0.6484424625171239,0.9728893493096533
14,2016,189,5,0.6584388660513374,0.9734390304809615
15,2017,189,5,0.6598169819779188,0.9695949041079704
16,2018,189,5,0.6491960801863588,0.9794736486460335
17,2019,189,5,0.6111656340780178,0.9635146964204261
18,2020,189,5,0.6719974598810567,0.9696036149393045
19,2021,189,5,0.6518313604914983,0.9463578930885709
