Rank,Pop Feature,Pop SHAP (log1p scale),Life Feature,Life SHAP
1,"Population, total_lag3",0.3078,"Life expectancy at birth, total (years)_lag1",1.0744
2,"Population, total_roll5",0.2730,"Life expectancy at birth, total (years)_lag3",0.8877
3,"Population, total_lag1",0.2681,"Life expectancy at birth, total (years)_lag2",0.7105
4,"Population, total_roll3",0.2492,CountryLifeExpMean,0.5899
5,"Population, total_lag2",0.2465,Death_Fertility,0.5854
6,CountryPopMean,0.2318,"Mortality rate, infant (per 1,000 live births)_sq",0.5364
7,CountryPopStd,0.1200,"Mortality rate, infant (per 1,000 live births)",0.4451
8,Net migration,0.0415,"Birth rate, crude (per 1,000 people)_lag1",0.2706
9,CountryCodeEncoded,0.0322,"Birth rate, crude (per 1,000 people)_roll5",0.2557
10,CountryNameEncoded,0.0263,"Death rate, crude (per 1,000 people)",0.2253
